city,date,temp,humidity,description,temp_transformed,humidity_transformed
Patna,2025-04-25 02:30:00,27.72,13,clear sky,0.5628528698541105,-1.3175231950130288
Patna,2025-04-25 05:30:00,26.27,27,clear sky,0.46215371963561985,-1.0070441118380344
Patna,2025-04-25 08:30:00,34.57,26,clear sky,1.0149563893162254,-1.0309168955521864
Patna,2025-04-25 11:30:00,41.95,8,clear sky,1.466757566094118,-1.4125596726899778
Patna,2025-04-25 14:30:00,44.67,3,clear sky,1.6257801752303624,-1.4942313660430069
Patna,2025-04-25 17:30:00,42.59,3,clear sky,1.5045064946036504,-1.4942313660430069
Patna,2025-04-25 20:30:00,35.91,5,clear sky,1.0994283837768053,-1.4636031077720066
Patna,2025-04-25 23:30:00,33.67,5,clear sky,0.9575505438611298,-1.4636031077720066
Patna,2025-04-26 02:30:00,28.66,39,clear sky,0.6271161879520408,-0.7046453047943616
Patna,2025-04-26 05:30:00,26.55,65,clear sky,0.48175258056652626,0.029907509168385627
Patna,2025-04-26 08:30:00,35.22,31,clear sky,1.0560779265312938,-0.9093837228494813
Patna,2025-04-26 11:30:00,42.09,13,clear sky,1.475033068483427,-1.3175231950130288
Patna,2025-04-26 14:30:00,44.72,7,clear sky,1.6286696077392342,-1.4301570557989034
Patna,2025-04-26 17:30:00,43.12,5,clear sky,1.5356102558851938,-1.4636031077720066
Patna,2025-04-26 20:30:00,34.82,26,few clouds,1.0308054414763517,-1.0309168955521864
Patna,2025-04-26 23:30:00,30.47,49,clear sky,0.7487462859489354,-0.43345486600459143
Patna,2025-04-27 02:30:00,29.05,61,clear sky,0.6535538741481705,-0.0890015078554524
Patna,2025-04-27 05:30:00,27.76,70,clear sky,0.5656033955399812,0.1811880227862962
Patna,2025-04-27 08:30:00,31.75,56,clear sky,0.8331816004318796,-0.23484657852069762
Patna,2025-04-27 11:30:00,36.31,40,scattered clouds,1.1244199221395914,-0.6782478197628337
Patna,2025-04-27 14:30:00,39.24,28,broken clouds,1.3045165140131603,-0.982948858996362
Patna,2025-04-27 17:30:00,24.48,63,moderate rain,0.33502720508219397,-0.02978826335518544
Faridabad,2025-04-22 20:30:00,35.38,3,clear sky,1.0661575883467658,-1.4942313660430069
Faridabad,2025-04-22 23:30:00,34.41,4,clear sky,1.0047910715802129,-1.4793171543156147
Faridabad,2025-04-23 02:30:00,32.42,4,clear sky,0.876884144662848,-1.4793171543156147
Faridabad,2025-04-23 05:30:00,28.87,6,clear sky,0.6413679533982855,-1.4471911517938352
Faridabad,2025-04-23 08:30:00,32.8,5,clear sky,0.9015246175404779,-1.4636031077720066
Faridabad,2025-04-23 11:30:00,38.75,3,clear sky,1.274749369035874,-1.4942313660430069
Faridabad,2025-04-23 14:30:00,40.99,2,clear sky,1.409736196012297,-1.5081997183628717
Faridabad,2025-04-23 17:30:00,40.35,2,clear sky,1.3714501382487814,-1.5081997183628717
Faridabad,2025-04-23 20:30:00,36.38,3,clear sky,1.128783090692659,-1.4942313660430069
Faridabad,2025-04-23 23:30:00,33.76,4,clear sky,0.9633160697664881,-1.4793171543156147
Faridabad,2025-04-24 02:30:00,31.03,4,clear sky,0.7858422233809252,-1.4793171543156147
Faridabad,2025-04-24 05:30:00,28.79,5,clear sky,0.6359431535088466,-1.4636031077720066
Faridabad,2025-04-24 08:30:00,33.31,4,clear sky,0.9344320896228487,-1.4793171543156147
Faridabad,2025-04-24 11:30:00,39.71,3,clear sky,1.3329412221995118,-1.4942313660430069
Faridabad,2025-04-24 14:30:00,42.14,4,clear sky,1.477986160848218,-1.4793171543156147
Faridabad,2025-04-24 17:30:00,41.66,4,clear sky,1.4495832057982312,-1.4793171543156147
Faridabad,2025-04-24 20:30:00,37.33,5,clear sky,1.1876979035160766,-1.4636031077720066
Faridabad,2025-04-24 23:30:00,35.12,6,clear sky,1.0497696587127234,-1.4471911517938352
Faridabad,2025-04-25 02:30:00,32.07,7,clear sky,0.8540958658789433,-1.4301570557989034
Faridabad,2025-04-25 05:30:00,30.57,8,clear sky,0.7553886015350507,-1.4125596726899778
Faridabad,2025-04-25 08:30:00,35.58,7,clear sky,1.0787338206450108,-1.4301570557989034
Faridabad,2025-04-25 11:30:00,41.09,5,clear sky,1.4156985659995325,-1.4636031077720066
Faridabad,2025-04-25 14:30:00,43.14,4,clear sky,1.536781231063189,-1.4793171543156147
Faridabad,2025-04-25 17:30:00,42.16,4,clear sky,1.4791670383998363,-1.4793171543156147
Faridabad,2025-04-25 20:30:00,38.33,6,broken clouds,1.249124992411317,-1.4471911517938352
Faridabad,2025-04-25 23:30:00,34.86,9,broken clouds,1.0333374353181302,-1.394446222541724
Faridabad,2025-04-26 02:30:00,32.9,11,overcast clouds,0.9079916582948604,-1.3568202516777268
Faridabad,2025-04-26 05:30:00,30.6,11,scattered clouds,0.7573797571155159,-1.3568202516777268
Faridabad,2025-04-26 08:30:00,34.71,12,clear sky,1.0238369855591603,-1.337368124532515
Faridabad,2025-04-26 11:30:00,40.84,7,clear sky,1.4007826477447924,-1.4301570557989034
Faridabad,2025-04-26 14:30:00,43.33,4,clear sky,1.547895590853264,-1.4793171543156147
Faridabad,2025-04-26 17:30:00,42.87,4,scattered clouds,1.52095623031391,-1.4793171543156147
Faridabad,2025-04-26 20:30:00,37.18,11,broken clouds,1.1784322793645667,-1.3568202516777268
Faridabad,2025-04-26 23:30:00,35.13,10,broken clouds,1.0504007799344712,-1.3758555502587615
Faridabad,2025-04-27 02:30:00,33.96,11,overcast clouds,0.9761083473288239,-1.3568202516777268
Faridabad,2025-04-27 05:30:00,31.71,13,overcast clouds,0.8305619405775851,-1.3175231950130288
Faridabad,2025-04-27 08:30:00,35.85,10,clear sky,1.0956709127738686,-1.3758555502587615
Faridabad,2025-04-27 11:30:00,41.56,7,clear sky,1.443650869569423,-1.4301570557989034
Faridabad,2025-04-27 14:30:00,43.68,5,clear sky,1.5683227666316737,-1.4636031077720066
Faridabad,2025-04-27 17:30:00,42.87,5,clear sky,1.52095623031391,-1.4636031077720066
Patiala,2025-04-22 20:30:00,31.1,9,clear sky,0.7904620512581172,-1.394446222541724
Patiala,2025-04-22 23:30:00,30.05,9,clear sky,0.7207616759291586,-1.394446222541724
Patiala,2025-04-23 02:30:00,27.39,9,clear sky,0.5401059532313255,-1.394446222541724
Patiala,2025-04-23 05:30:00,24.4,12,clear sky,0.32926872240845406,-1.337368124532515
Patiala,2025-04-23 08:30:00,32.7,7,clear sky,0.8950503983022832,-1.4301570557989034
Patiala,2025-04-23 11:30:00,39.57,4,clear sky,1.3244872167397694,-1.4793171543156147
Patiala,2025-04-23 14:30:00,41.3,3,clear sky,1.4282022813663138,-1.4942313660430069
Patiala,2025-04-23 17:30:00,39.54,3,clear sky,1.322674221767977,-1.4942313660430069
Patiala,2025-04-23 20:30:00,31.9,5,clear sky,0.8429946583336466,-1.4636031077720066
Patiala,2025-04-23 23:30:00,27.91,7,clear sky,0.5759051168337633,-1.4301570557989034
