city,date,temp,humidity,description,wind_speed
Delhi,2025-04-22 20:30:00,3.601959254785679,1.0986156219958876,clear sky,-11.512925464970229
Delhi,2025-04-22 23:30:00,3.5745905879808277,1.0986156219958876,clear sky,-11.512925464970229
Delhi,2025-04-23 02:30:00,3.5058579524156905,1.3862968611167654,clear sky,-11.512925464970229
Delhi,2025-04-23 05:30:00,3.39316554598634,1.7917611358933327,clear sky,-11.512925464970229
Delhi,2025-04-23 08:30:00,3.4694792004110155,1.6094399124321004,clear sky,-11.512925464970229
Delhi,2025-04-23 11:30:00,3.6506585010339645,1.0986156219958876,clear sky,-11.512925464970229
Delhi,2025-04-23 14:30:00,3.7106411905138144,0.6931521805474454,clear sky,-11.512925464970229
Delhi,2025-04-23 17:30:00,3.6990775265538507,0.6931521805474454,clear sky,-11.512925464970229
Delhi,2025-04-23 20:30:00,3.627270238368942,1.0986156219958876,clear sky,-11.512925464970229
Delhi,2025-04-23 23:30:00,3.546451749249129,1.0986156219958876,clear sky,-11.512925464970229
Delhi,2025-04-24 02:30:00,3.473208227812077,1.3862968611167654,clear sky,-11.512925464970229
Delhi,2025-04-24 05:30:00,3.4018641593165198,1.3862968611167654,clear sky,-11.512925464970229
Delhi,2025-04-24 08:30:00,3.484925903753213,1.3862968611167654,clear sky,-11.512925464970229
Delhi,2025-04-24 11:30:00,3.6627923759582317,1.0986156219958876,clear sky,-11.512925464970229
Delhi,2025-04-24 14:30:00,3.73671702185028,1.3862968611167654,clear sky,-11.512925464970229
Delhi,2025-04-24 17:30:00,3.7278599941972055,1.3862968611167654,clear sky,-11.512925464970229
Delhi,2025-04-24 20:30:00,3.656614751724407,1.3862968611167654,clear sky,-11.512925464970229
Delhi,2025-04-24 23:30:00,3.579901570328652,1.6094399124321004,clear sky,-11.512925464970229
Delhi,2025-04-25 02:30:00,3.5136331088769155,1.7917611358933327,clear sky,-11.512925464970229
Delhi,2025-04-25 05:30:00,3.465111020101194,1.9459115776257214,clear sky,-11.512925464970229
Delhi,2025-04-25 08:30:00,3.533978784781512,1.9459115776257214,clear sky,-11.512925464970229
Delhi,2025-04-25 11:30:00,3.691875212345947,1.7917611358933327,clear sky,-11.512925464970229
Delhi,2025-04-25 14:30:00,3.7530275084042493,1.3862968611167654,clear sky,-11.512925464970229
Delhi,2025-04-25 17:30:00,3.7412349216957606,1.3862968611167654,clear sky,-11.512925464970229
Delhi,2025-04-25 20:30:00,3.6643308374056605,1.3862968611167654,scattered clouds,-11.512925464970229
Delhi,2025-04-25 23:30:00,3.60441056952227,1.9459115776257214,broken clouds,-11.512925464970229
Delhi,2025-04-26 02:30:00,3.545298014236159,2.197225688446713,overcast clouds,-11.512925464970229
Delhi,2025-04-26 05:30:00,3.482163047893759,2.0794427916790545,broken clouds,-11.512925464970229
Delhi,2025-04-26 08:30:00,3.5275365974771633,2.4849074831209865,clear sky,-11.512925464970229
Delhi,2025-04-26 11:30:00,3.6780715081140056,2.0794427916790545,few clouds,-11.512925464970229
Delhi,2025-04-26 14:30:00,3.7556033200202408,1.3862968611167654,few clouds,-11.512925464970229
Delhi,2025-04-26 17:30:00,3.7544333189905523,1.3862968611167654,few clouds,-11.512925464970229
Delhi,2025-04-26 20:30:00,3.64597221406296,1.7917611358933327,scattered clouds,-11.512925464970229
Delhi,2025-04-26 23:30:00,3.598955020108888,2.197225688446713,broken clouds,-11.512925464970229
Delhi,2025-04-27 02:30:00,3.560478023561788,2.3025860929935456,overcast clouds,-11.512925464970229
Delhi,2025-04-27 05:30:00,3.5172013542424008,2.3025860929935456,broken clouds,-11.512925464970229
Delhi,2025-04-27 08:30:00,3.5793438459856186,2.3025860929935456,clear sky,-11.512925464970229
Delhi,2025-04-27 11:30:00,3.7096622381544173,1.9459115776257214,clear sky,-11.512925464970229
Delhi,2025-04-27 14:30:00,3.76236246316175,1.6094399124321004,clear sky,-11.512925464970229
Delhi,2025-04-27 17:30:00,3.7577058784159902,1.3862968611167654,clear sky,-11.512925464970229
Patna,2025-04-22 20:30:00,3.5787858104125534,2.3978961818888664,clear sky,-11.512925464970229
Patna,2025-04-22 23:30:00,3.550192221531271,2.4849074831209865,clear sky,-11.512925464970229
Patna,2025-04-23 02:30:00,3.4600953371773477,2.197225688446713,clear sky,-11.512925464970229
Patna,2025-04-23 05:30:00,3.321432774204058,1.9459115776257214,clear sky,-11.512925464970229
Patna,2025-04-23 08:30:00,3.602504510920983,1.3862968611167654,clear sky,-11.512925464970229
Patna,2025-04-23 11:30:00,3.768383786120067,1.0986156219958876,clear sky,-11.512925464970229
Patna,2025-04-23 14:30:00,3.801538495616709,0.6931521805474454,clear sky,-11.512925464970229
Patna,2025-04-23 17:30:00,3.7436045904895456,0.6931521805474454,clear sky,-11.512925464970229
Patna,2025-04-23 20:30:00,3.5409596138923445,1.3862968611167654,clear sky,-11.512925464970229
Patna,2025-04-23 23:30:00,3.442979235370154,1.3862968611167654,clear sky,-11.512925464970229
Patna,2025-04-24 02:30:00,3.383712406534104,1.6094399124321004,clear sky,-11.512925464970229
Patna,2025-04-24 05:30:00,3.31491337643717,1.7917611358933327,clear sky,-11.512925464970229
Patna,2025-04-24 08:30:00,3.582129362331134,1.0986156219958876,clear sky,-11.512925464970229
Patna,2025-04-24 11:30:00,3.7598040253337004,0.6931521805474454,clear sky,-11.512925464970229
Patna,2025-04-24 14:30:00,3.8033238114702206,0.6931521805474454,clear sky,-11.512925464970229
Patna,2025-04-24 17:30:00,3.748798179785477,0.6931521805474454,clear sky,-11.512925464970229
